Anio_Electoral;C.A.;Codigo_Municipio;Municipio;Distrito;Seccion;Mesa;Censo;Votos_Emitidos;Votos_Nulos;Votos_en_blanco;Votos_Validos;Porc_Escrutado;AP-ALIANZA_POPULAR_P.DEMOCRATA;AP-FEDERACION_PARTIDOS_DE_ALIA;PP-PARTIDO_POPULAR;PP-PARTIDO_POPULAR_DE_LA_RIOJA;PSOE-PARTIDO_SOCIALISTA_OBRERO;PR-PARTIDO_RIOJANO;PR-PARTIDO_RIOJANO_PROGRESISTA;PRx-PARTIDO_RIOJANO;PRxE-PARTIDO_RIOJANO_x_ESPANA_;I.U.-IZQUIERDA_UNIDA;IU-IZQUIERDA_UNIDA;IU-IZQUIERDA_UNIDA_LA_RIOJA;PCE-PARTIDO_COMUNISTA_DE_ESPAN;MASH-MOVIMIENTO_AL_SOCIALISMO_;MASH-MVTO_AL_SOCIALISMO_HUMANI;VERDES-LOS_VERDES;VERDES-LOS_VERDES_DE_LA_RIOJA;AR.-ALTERNATIVA_RIOJANA;IZQ.-COALICION_ELECTORAL_IZQ_-;CDS-CENTRO_DEMOCRATICO_Y_SOCIA;PTE-UC-P.TRABAJADORES_ESPANA-U;PDP-PARTIDO_DEMOCRATA_POPULAR;P.C.P.E.-PARTIDO_COMUNISTA_LOS;PCPE-PARTIDO_COMUNISTA_LOS_PUE;PUMxJ-POR_UN_MUNDO_MAS_JUSTO;UPYD-UNION_PROGRESO_Y_DEMOCRAC;UPyD-UNION_PROGRESO_Y_DEMOCRAC_1;ECOLO-VERDE-COALICION_VERDES_D;PACMA-ANTITAURINO_CONTRA_MALTR;PACMA-PART._ANIMALISTA_CONTRA_;PACMA-PARTIDO_ANIMALISTA_CON_E;PACMA-PARTIDO_ANIMALISTA_CONTR;Cs-CIUDADANOS-PARTIDO_DE_LA_CI;PODEMOS-PODEMOS;PODEMOS-I.U.-PODEMOS-IZQUIERDA;PODEMOS-IU-EQUO-UNIDAS_PODEMOS;CR-IU-EQUO-CAMBIA_LA_RIOJA-IU-;EB-PARTIDO_ESCANOS_EN_BLANCO;ESCANOS_EN_BLANCO-ESCANOS_EN_B;VOX-VOX;VINEA-VINEA_La_Rioja;PLRi-POR_LA_RIOJA;p43;p44;p45;p46;p47;p48;p49;p50
2023;La Rioja;24;Bañares;01;001;U;179;144;2;1;142;100.0;;;50;;62;;;;2;;;;;;;;;;;;;;;;;;;;;;0;;0;;3;;;;0;20;0;4;;;;;;;;
2023;La Rioja;25;Baños De Rioja;01;001;U;81;64;0;1;64;100.0;;;25;;24;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;0;;2;;;;0;8;0;1;;;;;;;;
2023;La Rioja;26;Baños De Río Tobía;01;001;A;593;504;7;7;497;100.0;;;279;;163;;;;14;;;;;;;;;;;;;;;;;;;;;;2;;1;;3;;;;0;28;0;0;;;;;;;;
2023;La Rioja;26;Baños De Río Tobía;01;001;B;666;559;7;3;552;100.0;;;281;;212;;;;22;;;;;;;;;;;;;;;;;;;;;;0;;3;;17;;;;0;13;1;0;;;;;;;;
2023;La Rioja;27;Berceo;01;001;U;123;101;0;3;101;100.0;;;38;;39;;;;2;;;;;;;;;;;;;;;;;;;;;;0;;0;;16;;;;0;2;1;0;;;;;;;;
2023;La Rioja;28;Bergasa;01;001;U;129;117;2;0;115;100.0;;;79;;18;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;0;;11;;;;1;3;1;1;;;;;;;;
2023;La Rioja;29;Bergasillas Bajera;01;001;U;41;39;3;1;36;100.0;;;20;;11;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;0;;2;;;;0;1;0;0;;;;;;;;
2023;La Rioja;30;Bezares;01;001;U;22;21;0;0;21;100.0;;;17;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;0;0;1;;;;;;;;
2023;La Rioja;31;Bobadilla;01;001;U;84;81;2;0;79;100.0;;;38;;33;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;;;0;6;0;0;;;;;;;;
2023;La Rioja;32;Brieva De Cameros;01;001;U;43;37;0;0;37;100.0;;;12;;16;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;0;;2;;;;0;2;0;4;;;;;;;;
2023;La Rioja;33;Briñas;01;001;U;160;137;2;1;135;100.0;;;58;;55;;;;0;;;;;;;;;;;;;;;;;;;;;;1;;0;;5;;;;1;5;1;8;;;;;;;;
2023;La Rioja;34;Briones;01;001;U;595;505;14;3;491;100.0;;;196;;228;;;;12;;;;;;;;;;;;;;;;;;;;;;0;;1;;10;;;;1;33;2;5;;;;;;;;
2023;La Rioja;35;Cabezón De Cameros;01;001;U;23;22;2;0;20;100.0;;;9;;5;;;;3;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;0;2;0;1;;;;;;;;
2023;La Rioja;36;Calahorra;01;001;U;570;315;5;2;310;100.0;;;160;;85;;;;3;;;;;;;;;;;;;;;;;;;;;;7;;0;;20;;;;1;27;4;1;;;;;;;;
2023;La Rioja;36;Calahorra;02;001;U;506;244;4;5;240;100.0;;;88;;78;;;;8;;;;;;;;;;;;;;;;;;;;;;3;;0;;19;;;;0;22;15;2;;;;;;;;
2023;La Rioja;36;Calahorra;02;002;U;638;282;4;2;278;100.0;;;116;;103;;;;0;;;;;;;;;;;;;;;;;;;;;;2;;3;;18;;;;0;32;0;2;;;;;;;;
2023;La Rioja;36;Calahorra;02;003;A;639;409;5;0;404;100.0;;;199;;131;;;;6;;;;;;;;;;;;;;;;;;;;;;4;;6;;21;;;;1;35;1;0;;;;;;;;
2023;La Rioja;36;Calahorra;02;003;B;638;443;9;5;434;100.0;;;225;;129;;;;12;;;;;;;;;;;;;;;;;;;;;;0;;3;;15;;;;0;37;5;3;;;;;;;;
2023;La Rioja;36;Calahorra;02;004;A;528;355;7;5;348;100.0;;;181;;107;;;;6;;;;;;;;;;;;;;;;;;;;;;1;;2;;13;;;;1;28;3;1;;;;;;;;
2023;La Rioja;36;Calahorra;02;004;B;691;455;12;3;443;100.0;;;242;;120;;;;5;;;;;;;;;;;;;;;;;;;;;;4;;1;;13;;;;2;50;3;0;;;;;;;;
2023;La Rioja;36;Calahorra;02;004;C;595;415;9;4;406;100.0;;;221;;109;;;;4;;;;;;;;;;;;;;;;;;;;;;4;;0;;18;;;;2;39;2;3;;;;;;;;
2023;La Rioja;36;Calahorra;03;001;U;770;592;8;7;584;100.0;;;324;;165;;;;4;;;;;;;;;;;;;;;;;;;;;;4;;5;;18;;;;0;45;3;9;;;;;;;;
2023;La Rioja;36;Calahorra;03;002;A;564;373;7;1;366;100.0;;;169;;121;;;;9;;;;;;;;;;;;;;;;;;;;;;4;;0;;22;;;;2;31;3;4;;;;;;;;
2023;La Rioja;36;Calahorra;03;002;B;644;452;2;1;450;100.0;;;206;;159;;;;8;;;;;;;;;;;;;;;;;;;;;;0;;5;;20;;;;2;36;6;7;;;;;;;;
2023;La Rioja;36;Calahorra;03;002;C;514;343;7;4;336;100.0;;;148;;116;;;;3;;;;;;;;;;;;;;;;;;;;;;2;;4;;19;;;;0;34;3;3;;;;;;;;
2023;La Rioja;36;Calahorra;03;003;A;710;521;11;4;510;100.0;;;217;;197;;;;8;;;;;;;;;;;;;;;;;;;;;;2;;3;;27;;;;3;35;12;2;;;;;;;;
2023;La Rioja;36;Calahorra;03;003;B;732;513;10;12;503;100.0;;;225;;179;;;;8;;;;;;;;;;;;;;;;;;;;;;0;;8;;20;;;;0;40;8;3;;;;;;;;
2023;La Rioja;36;Calahorra;03;004;A;638;436;9;4;427;100.0;;;165;;183;;;;7;;;;;;;;;;;;;;;;;;;;;;1;;2;;18;;;;0;37;8;2;;;;;;;;
2023;La Rioja;36;Calahorra;03;004;B;678;447;14;4;433;100.0;;;171;;170;;;;12;;;;;;;;;;;;;;;;;;;;;;3;;5;;17;;;;0;35;9;7;;;;;;;;
2023;La Rioja;36;Calahorra;03;005;U;699;474;13;7;461;100.0;;;221;;153;;;;11;;;;;;;;;;;;;;;;;;;;;;0;;7;;13;;;;0;38;7;4;;;;;;;;
2023;La Rioja;36;Calahorra;03;006;A;700;506;6;5;500;100.0;;;202;;176;;;;11;;;;;;;;;;;;;;;;;;;;;;0;;5;;22;;;;0;65;13;1;;;;;;;;
2023;La Rioja;36;Calahorra;03;006;B;529;408;6;5;402;100.0;;;185;;139;;;;6;;;;;;;;;;;;;;;;;;;;;;0;;7;;12;;;;0;40;8;0;;;;;;;;
2023;La Rioja;36;Calahorra;03;006;C;539;392;6;6;386;100.0;;;155;;140;;;;5;;;;;;;;;;;;;;;;;;;;;;1;;5;;14;;;;6;42;7;5;;;;;;;;
