ANIO_ELECTORAL;CODIGO_MUNICIPIO;MUNICIPIO;DISTRITO;SECCION;MESA;DIRECCION_MESA;DESCRIPCION_MESA;CENSO;VOTOS_EMITIDOS;VOTOS_NULOS;VOTOS_EN_BLANCO;VOTOS_VALIDOS;PORC_PARTICIPACION;PORC_ESCRUTADO;CENSO_ESCRUTADO
1983;65;Galbárruli;01;001;A;;;49;41;0;0;41;83.67;100.0;49
1983;66;Galilea;01;001;A;;;246;190;0;1;190;77.24;100.0;246
1983;67;Gallinero de Cameros;01;001;A;;;18;13;0;0;13;72.22;100.0;18
1983;68;Gimileo;01;001;A;;;70;64;0;1;64;91.43;100.0;70
1983;69;Grañón;01;001;A;;;509;413;4;7;409;81.14;100.0;509
1983;70;Grávalos;01;001;A;;;349;329;0;1;329;94.27;100.0;349
1983;71;Haro;01;001;A;;;1265;904;26;7;878;71.46;100.0;1265
1983;71;Haro;02;001;A;;;1216;883;9;2;874;72.62;100.0;1216
1983;71;Haro;02;002;A;;;907;682;3;0;679;75.19;100.0;907
1983;71;Haro;03;001;A;;;585;437;2;0;435;74.7;100.0;585
1983;71;Haro;03;002;A;;;927;703;3;4;700;75.84;100.0;927
1983;71;Haro;04;001;A;;;1234;893;7;6;886;72.37;100.0;1234
1983;71;Haro;04;002;A;;;621;445;2;8;443;71.66;100.0;621
1983;72;Herce;01;001;A;;;335;323;1;3;322;96.42;100.0;335
1983;73;Herramélluri;01;001;A;;;194;166;4;2;162;85.57;100.0;194
1983;74;Hervías;01;001;A;;;266;230;2;1;228;86.47;100.0;266
1983;75;Hormilla;01;001;A;;;471;381;1;5;380;80.89;100.0;471
1983;76;Hormilleja;01;001;A;;;197;165;0;0;165;83.76;100.0;197
1983;77;Hornillos de Cameros;01;001;A;;;30;22;0;0;22;73.33;100.0;30
1983;78;Hornos de Moncalvillo;01;001;A;;;85;60;0;5;60;70.59;100.0;85
1983;79;Huércanos;01;001;A;;;814;718;2;4;716;88.21;100.0;814
1983;80;Igea;01;001;A;;;848;764;7;1;757;90.09;100.0;848
1983;81;Jalón de Cameros;01;001;A;;;27;27;0;0;27;100.0;100.0;27
1983;82;Laguna de Cameros;01;001;A;;;175;129;0;0;129;73.71;100.0;175
1983;83;Lagunilla del Jubera;01;001;A;;;342;306;5;5;301;89.47;100.0;342
1983;84;Lardero;01;001;A;;;1002;584;3;3;581;58.28;100.0;1002
1983;84;Lardero;01;001;B;;;954;607;6;6;601;63.63;100.0;954
1983;86;Ledesma de la Cogolla;01;001;A;;;26;24;0;0;24;92.31;100.0;26
1983;87;Leiva;01;001;A;;;367;270;0;3;270;73.57;100.0;367
1983;88;Leza de Río Leza;01;001;A;;;25;20;0;0;20;80.0;100.0;25
1983;89;Logroño;01;001;A;;;691;369;6;2;363;53.4;100.0;691
1983;89;Logroño;01;002;A;;;1172;782;6;3;776;66.72;100.0;1172
1983;89;Logroño;01;003;A;;;718;494;7;7;487;68.8;100.0;718
1983;89;Logroño;01;003;B;;;691;485;4;9;481;70.19;100.0;691
1983;89;Logroño;01;004;A;;;852;590;9;5;581;69.25;100.0;852
1983;89;Logroño;01;005;A;;;762;479;0;5;479;62.86;100.0;762
1983;89;Logroño;01;006;A;;;595;324;3;3;321;54.45;100.0;595
1983;89;Logroño;01;007;A;;;1121;264;15;2;249;23.55;100.0;1121
1983;89;Logroño;02;001;A;;;966;635;4;6;631;65.73;100.0;966
1983;89;Logroño;02;002;A;;;731;460;1;4;459;62.93;100.0;731
1983;89;Logroño;02;002;B;;;676;419;1;1;418;61.98;100.0;676
1983;89;Logroño;02;003;A;;;643;420;4;3;416;65.32;100.0;643
1983;89;Logroño;02;003;B;;;639;418;3;2;415;65.41;100.0;639
1983;89;Logroño;02;004;A;;;831;510;0;1;510;61.37;100.0;831
1983;89;Logroño;02;004;B;;;724;454;12;8;442;62.71;100.0;724
1983;89;Logroño;02;005;A;;;677;440;1;3;439;64.99;100.0;677
1983;89;Logroño;02;005;B;;;696;454;3;5;451;65.23;100.0;696
1983;89;Logroño;02;006;A;;;1103;686;3;7;683;62.19;100.0;1103
1983;89;Logroño;02;007;A;;;1146;697;3;3;694;60.82;100.0;1146
1983;89;Logroño;02;008;A;;;997;604;2;4;602;60.58;100.0;997
1983;89;Logroño;02;009;A;;;737;424;10;4;414;57.53;100.0;737
1983;89;Logroño;02;009;B;;;676;386;2;1;384;57.1;100.0;676
1983;89;Logroño;02;010;A;;;675;433;8;2;425;64.15;100.0;675
1983;89;Logroño;02;011;A;;;1027;635;4;6;631;61.83;100.0;1027
1983;89;Logroño;02;012;A;;;1213;768;4;2;764;63.31;100.0;1213
1983;89;Logroño;02;013;A;;;724;480;2;2;478;66.3;100.0;724
1983;89;Logroño;02;014;A;;;517;319;0;2;319;61.7;100.0;517
1983;89;Logroño;02;015;A;;;658;416;1;4;415;63.22;100.0;658
1983;89;Logroño;02;016;A;;;510;326;0;8;326;63.92;100.0;510
1983;89;Logroño;03;001;A;;;810;582;1;11;581;71.85;100.0;810
1983;89;Logroño;03;001;B;;;751;534;5;8;529;71.11;100.0;751
1983;89;Logroño;03;002;A;;;612;400;4;2;396;65.36;100.0;612
1983;89;Logroño;03;002;B;;;681;432;2;1;430;63.44;100.0;681
1983;89;Logroño;03;003;A;;;1256;893;11;13;882;71.1;100.0;1256
1983;89;Logroño;03;004;A;;;790;528;11;11;517;66.84;100.0;790
1983;89;Logroño;03;005;A;;;613;405;1;4;404;66.07;100.0;613
1983;89;Logroño;03;005;B;;;786;502;6;8;496;63.87;100.0;786
1983;89;Logroño;03;006;A;;;1028;651;13;6;638;63.33;100.0;1028
1983;89;Logroño;03;007;A;;;745;515;11;9;504;69.13;100.0;745
1983;89;Logroño;03;008;A;;;982;662;7;4;655;67.41;100.0;982
1983;89;Logroño;03;009;A;;;762;551;7;5;544;72.31;100.0;762
1983;89;Logroño;03;009;B;;;775;521;14;4;507;67.23;100.0;775
1983;89;Logroño;03;010;A;;;1037;643;22;8;621;62.01;100.0;1037
1983;89;Logroño;03;011;A;;;742;485;5;1;480;65.36;100.0;742
1983;89;Logroño;03;011;B;;;751;498;0;4;498;66.31;100.0;751
1983;89;Logroño;03;012;A;;;897;612;4;8;608;68.23;100.0;897
1983;89;Logroño;03;012;B;;;906;636;1;6;635;70.2;100.0;906
1983;89;Logroño;03;013;A;;;682;451;0;5;451;66.13;100.0;682
1983;89;Logroño;03;013;B;;;641;414;1;3;413;64.59;100.0;641
1983;89;Logroño;03;014;A;;;1033;710;5;5;705;68.73;100.0;1033
1983;89;Logroño;03;015;A;;;953;703;9;7;694;73.77;100.0;953
1983;89;Logroño;03;016;A;;;803;553;2;10;551;68.87;100.0;803
1983;89;Logroño;03;017;A;;;540;350;2;2;348;64.81;100.0;540
1983;89;Logroño;03;018;A;;;692;473;5;4;468;68.35;100.0;692
1983;89;Logroño;03;019;A;;;558;383;3;2;380;68.64;100.0;558
