MERINDAD;MUNICIPIO;DISTRITO;SECCION;MESA;CENSO;PARTICIPACION;ABSTENCION;VALIDOS;BLANCOS;NULOS;UPN;UPN_P;ECOLO;ECOLO_P;PP;PP_P;PSN_PSOE;PSN_PSOE_P;UPYD;UPYD_P;SAIN;SAIN_P;NA_BAI2011;NA_BAI2011_P;CDN;CDN_P;IXN;IXN_P;BILDU;BILDU_P;RCN_NOK;RCN_NOK_P;IZQ_EZK;IZQ_EZK_P;DNE;DNE_P
3;50;2;2;B;712;491;221;486;13;5;158;32,17;3;0,61;17;3,46;49;9,97;1;0,2;2;0,4;103;20,97;2;0,4;0;0;124;25,25;2;0,4;11;2,24;1;0,2
3;50;2;2;C;458;361;97;352;8;9;95;26,31;0;0;18;4,98;17;4,7;0;0;0;0;87;24,09;4;1,1;0;0;119;32,96;0;0;4;1,1;0;0
3;50;3;1;U;676;470;206;463;15;7;142;30,21;1;0,21;17;3,61;21;4,46;0;0;0;0;102;21,7;7;1,48;0;0;141;30;4;0,85;13;2,76;0;0
3;50;3;2;A;215;148;67;147;1;1;57;38,51;4;2,7;3;2,02;3;2,02;0;0;0;0;14;9,45;0;0;0;0;60;40,54;0;0;5;3,37;0;0
3;50;3;2;B;252;192;60;191;6;1;65;33,85;0;0;7;3,64;24;12,5;0;0;0;0;41;21,35;1;0,52;0;0;41;21,35;0;0;6;3,12;0;0
3;50;3;2;C;551;402;149;399;6;3;117;29,1;1;0,24;19;4,72;12;2,98;1;0,24;0;0;83;20,64;7;1,74;1;0,24;127;31,59;1;0,24;22;5,47;2;0,49
3;52;1;1;U;86;56;30;54;3;2;20;35,71;2;3,57;7;12,5;4;7,14;0;0;1;1,78;4;7,14;0;0;0;0;4;7,14;3;5,35;5;8,92;1;1,78
3;54;1;1;U;503;360;143;355;7;5;63;17,5;1;0,27;20;5,55;22;6,11;2;0,55;0;0;78;21,66;4;1,11;2;0,55;150;41,66;2;0,55;4;1,11;0;0
3;55;1;1;U;264;177;87;176;5;1;12;6,77;0;0;9;5,08;9;5,08;0;0;1;0,56;73;41,24;1;0,56;0;0;65;36,72;1;0,56;0;0;0;0
3;56;1;1;U;178;114;61;114;2;0;39;34,21;2;1,75;11;9,64;8;7,01;0;0;2;1,75;15;13,15;7;6,14;1;0,87;22;19,29;2;1,75;3;2,63;0;0
