Codcir,Codmun,Municipio,Censo,Certif_Alta,Censo_Total,Votos_Totales,Votos_Nulos,Votos_Blancos,Abstención,Votos_Validos,Votos_Candidaturas,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,206,Puente la Reina/Gares,2123,0,2123,1465,30,41,658,1435,1394,53,240,368,39,405,11,3,61,6,208,0
31,207,Pueyo / Puiu,285,0,285,179,3,2,106,176,174,11,37,63,6,33,0,1,9,0,10,4
31,208,Ribaforada,2576,0,2576,2019,24,19,557,1995,1976,319,103,35,65,222,3,2,115,1,1108,3
31,209,Romanzado / Erromantzatua,155,0,155,91,2,5,64,89,84,4,18,27,2,14,5,0,2,4,8,0
31,210,Roncal/Erronkari,183,0,183,122,1,1,61,121,120,1,21,37,2,26,0,0,6,1,26,0
31,212,Sada,126,0,126,85,0,2,41,85,83,5,4,5,3,44,0,0,4,1,17,0
31,213,Saldías,102,0,102,69,0,4,33,69,65,1,17,36,0,2,1,0,1,1,6,0
31,214,Salinas de Oro/Jaitz,88,0,88,59,2,1,29,57,56,3,13,17,1,8,0,0,1,0,13,0
31,215,San Adrián,4653,0,4653,3342,50,44,1311,3292,3248,428,53,81,249,1160,9,6,87,3,1166,6
31,217,San Martín de Unx,314,0,314,215,3,3,99,212,209,16,30,40,9,63,0,0,9,2,39,1
31,216,Sangüesa/Zangoza,3853,0,3853,2535,64,73,1318,2471,2398,151,358,429,83,699,10,6,152,8,494,8
31,219,Sansol,76,0,76,63,0,2,13,63,61,3,3,12,5,15,0,2,2,0,19,0
31,220,Santacara,742,0,742,539,11,9,203,528,519,35,21,22,28,226,1,3,23,2,157,1
31,222,Sarriés/Sartze,55,0,55,31,1,2,24,30,28,0,7,8,0,1,1,0,1,0,10,0
31,223,Sartaguda,925,0,925,722,14,11,203,708,697,41,25,180,23,175,1,1,15,1,234,1
31,224,Sesma,860,0,860,672,7,19,188,665,646,33,29,32,18,255,0,1,20,0,258,0
31,225,Sorlada,29,0,29,20,1,1,9,19,18,0,3,1,0,9,0,0,1,0,4,0
31,226,Sunbilla,575,0,575,355,2,4,220,353,349,8,104,180,5,14,0,0,6,1,31,0
31,227,Tafalla,8016,0,8016,5442,98,89,2574,5344,5255,170,686,1357,118,1199,20,6,429,13,1245,12
31,228,Tiebas-Muruarte de Reta,515,0,515,352,3,7,163,349,342,14,47,45,20,82,10,1,24,5,87,7
31,229,Tirapu,48,0,48,34,0,1,14,34,33,4,4,10,1,6,0,0,5,0,3,0
