Codcir;Codmun;Municipio;Mesa;Censo;Certif_alta;Certif_correc;Censo total;Votos_electores;Votos_interventores;Votos_totales;Votos_nulos;Votos_blancos;Geroa Bai;UPN;PSN;EH Bildu;UPyD;I-E;PP;Podemos;Ciudadanos;LN;Equo;PACMA;SAIn;RCN-NOK
31;60;Burlada - Burlata;2-003 -A;421;0;0;421;269;0;269;1;2;52;41;32;56;2;15;3;46;5;2;3;2;0;7
31;60;Burlada - Burlata;2-003 -B;383;0;0;383;235;0;235;2;4;41;43;32;45;2;7;4;43;4;2;3;2;1;0
31;60;Burlada - Burlata;2-004 -A;614;0;0;614;423;0;423;1;3;79;94;44;83;2;14;8;74;10;1;1;5;0;4
31;60;Burlada - Burlata;2-004 -B;633;0;0;633;410;0;410;5;8;73;95;54;50;1;19;15;67;13;0;0;5;1;4
31;60;Burlada - Burlata;2-005 -A;553;0;0;553;386;0;386;1;5;64;73;42;86;2;26;9;52;11;4;3;5;0;3
31;60;Burlada - Burlata;2-005 -B;597;0;0;597;411;0;411;5;4;77;69;52;67;2;31;15;64;13;1;2;3;1;5
31;60;Burlada - Burlata;2-006 -A;524;0;0;524;377;0;377;3;2;73;46;51;66;2;13;12;72;12;9;5;5;3;3
31;60;Burlada - Burlata;2-006 -B;583;0;0;583;411;0;411;3;1;73;82;51;51;3;15;9;97;12;4;4;2;1;3
31;60;Burlada - Burlata;2-006 -C;544;0;0;544;367;0;367;5;7;62;64;39;58;4;21;5;64;19;4;9;2;1;3
31;62;Cabanillas;1-001 -A;555;0;0;555;443;1;444;9;9;10;108;148;14;1;25;35;59;19;0;0;2;0;5
31;62;Cabanillas;1-001 -B;539;0;0;539;447;0;447;15;12;18;107;166;6;2;20;47;42;5;0;2;2;0;3
31;63;Cabredo;1-001 -U;89;0;0;89;76;0;76;4;0;4;26;6;15;0;1;6;8;3;0;2;1;0;0
31;64;Cadreita;1-001 -A;546;0;0;546;451;1;452;14;7;22;187;131;16;1;5;12;43;11;1;0;1;0;1
31;64;Cadreita;1-001 -B;392;0;0;392;338;2;340;9;4;13;172;84;19;1;2;8;20;3;0;0;3;0;2
