Codcir,Codmun,Municipio,Mesa,Censo,Certif_Alta,Certif_Correc,Censo_Total,Votos_Electores,Votos_Interventores,Votos_Totales,Votos_Nulos,Votos_Blancos,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,97,Estella-Lizarra,1-002-B,670,0,0,670,343,0,343,7,7,23,51,58,12,94,0,0,24,2,64,1
31,97,Estella-Lizarra,2-001-U,712,0,0,712,366,0,366,2,10,18,44,91,12,112,1,0,30,0,46,0
31,97,Estella-Lizarra,2-002-A,627,0,0,627,387,0,387,4,5,30,56,77,9,132,2,1,23,3,45,0
31,97,Estella-Lizarra,2-002-B,660,0,0,660,416,0,416,5,3,35,60,68,24,138,1,2,24,2,54,0
31,97,Estella-Lizarra,2-003-A,358,0,0,358,187,0,187,2,3,10,27,40,9,57,0,0,12,2,24,1
31,97,Estella-Lizarra,2-003-B,389,0,0,389,196,0,196,3,4,13,27,39,8,56,0,3,14,1,27,1
31,97,Estella-Lizarra,2-004-A,532,0,0,532,341,0,341,2,5,15,42,79,12,114,0,0,26,2,44,0
31,97,Estella-Lizarra,2-004-B,606,0,0,606,351,0,351,6,10,20,46,70,6,98,0,2,30,3,59,1
31,97,Estella-Lizarra,2-004-C,521,0,0,521,317,0,317,3,7,19,38,73,13,91,0,0,21,3,48,1
31,97,Estella-Lizarra,2-005-A,456,0,0,456,283,0,283,1,3,16,39,47,11,111,0,1,12,4,38,0
31,97,Estella-Lizarra,2-005-B,422,0,0,422,268,0,268,2,5,20,33,47,3,118,0,4,17,0,19,0
31,97,Estella-Lizarra,2-006-A,567,0,0,567,403,0,403,3,7,52,57,36,12,165,1,1,14,2,51,2
31,97,Estella-Lizarra,2-006-B,576,0,0,576,406,0,406,4,6,37,56,45,8,171,1,2,15,2,58,1
31,97,Estella-Lizarra,2-007-U,650,0,0,650,410,0,410,4,1,26,63,110,5,118,2,2,23,0,56,0
31,97,Estella-Lizarra,3-001-A,644,0,0,644,430,0,430,3,9,20,56,105,13,119,4,1,21,4,74,1
31,97,Estella-Lizarra,3-001-B,661,0,0,661,455,0,455,10,11,24,50,86,13,162,1,1,25,0,72,0
31,98,Esteribar,1-001-A,409,0,0,409,285,2,287,5,6,15,48,97,9,69,1,0,12,1,24,0
31,98,Esteribar,1-001-B,487,0,0,487,335,2,337,0,7,24,68,81,18,73,1,2,16,1,44,2
31,98,Esteribar,1-001-C,346,0,0,346,236,2,238,3,4,12,58,83,1,35,1,2,15,2,21,1
31,98,Esteribar,1-001-D,884,0,0,884,664,0,664,7,14,48,128,95,35,211,10,4,33,2,76,1
31,99,Etayo,1-001-U,50,0,0,50,40,0,40,0,0,5,1,6,2,11,0,0,2,0,13,0
31,82,Etxalar,1-001-U,634,0,0,634,443,0,443,4,25,14,123,178,7,42,0,0,10,3,35,2
31,84,Etxarri Aranatz,1-001-A,531,0,0,531,338,0,338,5,0,18,97,165,2,22,0,0,10,2,17,0
31,84,Etxarri Aranatz,1-001-B,455,0,0,455,283,0,283,2,3,10,83,132,3,20,0,0,6,0,23,1
31,84,Etxarri Aranatz,1-001-C,30,0,0,30,26,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0
31,84,Etxarri Aranatz,2-001-A,518,0,0,518,331,0,331,7,1,9,85,191,0,15,0,0,9,0,14,0
31,84,Etxarri Aranatz,2-001-B,388,0,0,388,241,0,241,3,2,2,62,141,1,9,0,0,6,0,15,0
31,85,Etxauri,1-001-U,483,0,0,483,343,0,343,5,7,5,63,154,5,23,1,1,28,5,46,0
31,100,Eulate,1-001-U,243,0,0,243,148,0,148,5,1,14,16,30,11,42,0,0,4,5,20,0
31,101,Ezcabarte,1-001-A,844,0,0,844,571,0,571,5,2,20,64,175,39,166,2,3,27,0,67,1
31,101,Ezcabarte,1-001-B,610,0,0,610,418,0,418,3,10,13,58,132,16,110,1,1,31,3,40,0
31,93,Ezcároz/Ezkaroze,1-001-U,253,0,0,253,177,0,177,0,2,5,35,67,1,36,0,0,4,1,26,0
31,102,Ezkurra,1-001-U,129,0,0,129,63,0,63,0,0,3,17,24,0,7,0,0,2,0,10,0
31,103,Ezprogui,1-001-U,44,0,0,44,33,0,33,0,1,7,3,4,1,13,0,0,0,0,4,0
31,104,Falces,1-001-A,497,0,0,497,388,0,388,9,10,24,29,33,13,97,2,3,22,2,143,1
31,104,Falces,1-001-B,430,0,0,430,321,0,321,9,9,23,18,31,13,98,3,1,12,1,102,1
31,104,Falces,2-001-A,422,0,0,422,256,0,256,10,6,21,19,25,7,51,1,2,8,1,105,0
31,104,Falces,2-001-B,368,0,0,368,248,0,248,4,0,7,25,24,8,51,0,2,13,0,114,0
31,105,Fitero,1-001-U,614,0,0,614,469,1,470,10,6,59,5,4,51,186,0,1,10,0,137,1
31,105,Fitero,2-001-A,407,0,0,407,338,0,338,4,6,46,3,5,37,119,0,0,11,0,105,2
31,105,Fitero,2-001-B,405,0,0,405,311,0,311,4,7,38,3,4,33,132,0,0,4,0,85,1
31,106,Fontellas,1-001-U,745,0,0,745,623,0,623,7,22,134,11,9,46,146,4,1,33,0,210,0
31,107,Funes,1-001-A,439,0,0,439,306,0,306,2,6,62,8,5,15,151,0,1,8,0,48,0
31,107,Funes,1-001-B,373,0,0,373,273,0,273,3,5,44,2,7,18,130,2,3,8,0,51,0
31,107,Funes,2-001-A,435,0,0,435,343,0,343,3,3,60,6,5,30,179,0,0,3,0,54,0
31,107,Funes,2-001-B,396,0,0,396,306,0,306,8,7,51,5,3,23,152,0,1,3,1,52,0
31,108,Fustiñana,1-001-A,516,0,0,516,427,0,427,14,17,119,14,13,12,101,2,0,19,0,116,0
31,108,Fustiñana,1-001-B,447,0,0,447,351,0,351,9,15,111,8,4,15,81,0,0,17,0,91,0
31,108,Fustiñana,2-001-A,478,0,0,478,386,0,386,16,10,102,16,15,28,81,0,0,10,0,108,0
31,108,Fustiñana,2-001-B,364,0,0,364,298,0,298,4,9,86,8,8,15,64,2,1,8,2,91,0
31,109,Galar,1-001-A,650,0,0,650,434,0,434,8,12,12,70,114,22,86,1,0,36,3,69,1
31,109,Galar,1-001-B,559,0,0,559,374,0,374,7,9,33,45,68,25,117,1,3,14,3,48,1
31,109,Galar,1-001-C,536,0,0,536,375,0,375,7,4,27,40,59,25,136,2,1,19,2,51,2
31,110,Gallipienzo/Galipentzu,1-001-U,85,0,0,85,68,0,68,1,1,3,6,11,2,18,1,0,6,0,19,0
31,111,Gallués/Galoze,1-001-U,92,0,0,92,71,0,71,0,0,3,21,16,4,8,2,0,5,4,8,0
31,112,Garaioa,1-001-U,83,0,0,83,56,0,56,0,3,4,24,10,0,8,0,0,3,0,4,0
31,113,Garde,1-001-U,123,0,0,123,73,0,73,0,3,5,17,11,1,14,0,0,3,0,19,0
31,114,Garínoain,1-001-U,400,0,0,400,264,0,264,7,5,10,28,56,16,46,2,1,36,2,55,0
31,115,Garralda,1-001-U,151,0,0,151,100,0,100,1,1,1,39,34,0,16,0,0,2,0,6,0
31,116,Genevilla,1-001-U,64,0,0,64,54,0,54,1,2,6,6,6,6,17,0,0,3,1,6,0
31,117,Goizueta,1-001-U,561,0,0,561,387,0,387,11,3,3,71,276,0,9,0,0,5,1,8,0
