Codcir,Codmun,Municipio,Censo,Certif. Alta,Censo Total,Votos Totales,Votos Nulos,Votos Blancos,Abstención,Votos Válidos,Votos Candidaturas,NA+,EH Bildu,I-E (n),PSN-PSOE,GBAI,SAIN,VOX,EQUO,RCN-NOK,Ln,PODEMOS
31,16,Ansoáin / Antsoain,7764,0,7764,5596,40,23,2168,5556,5533,978,1196,247,1531,1076,7,35,23,17,12,411
31,17,Anue,367,0,367,281,0,5,86,281,276,78,75,1,24,86,1,4,0,0,1,6
31,18,Añorbe,419,0,419,276,1,3,143,275,272,95,29,5,68,48,0,1,0,1,0,25
31,19,Aoiz / Agoitz,1811,0,1811,1283,13,15,528,1270,1255,278,486,17,132,263,0,11,4,2,1,61
31,20,Araitz,433,0,433,264,2,1,169,262,261,9,149,5,1,92,0,0,0,1,0,4
31,25,Arakil,759,0,759,522,4,3,237,518,515,119,161,7,56,135,0,6,4,0,1,26
31,21,Aranarache / Aranaratxe,59,0,59,46,0,1,13,46,45,12,17,1,4,8,0,0,1,0,0,2
31,23,Aranguren,7634,0,7634,5995,33,61,1639,5962,5901,2674,471,151,1033,1063,11,89,31,38,5,335
31,24,Arano,102,0,102,62,1,0,40,61,61,4,39,0,1,15,0,0,0,0,0,2
31,22,Arantza,480,0,480,351,6,5,129,345,340,22,171,3,10,128,0,0,0,0,1,5
31,26,Aras,131,0,131,110,0,0,21,110,110,47,5,0,40,15,0,1,0,0,0,2
31,27,Arbizu,812,0,812,570,1,5,242,569,564,35,313,1,12,195,1,1,0,0,0,6
31,28,Arce / Artzi,220,0,220,143,0,2,77,143,141,31,52,1,11,38,1,0,1,0,1,5
31,30,Arellano,138,0,138,98,0,3,40,98,95,16,28,2,13,24,0,0,0,0,0,12
31,31,Areso,221,0,221,153,1,3,68,152,149,15,66,2,8,57,0,0,0,0,0,1
31,32,Arguedas,1672,0,1672,1307,13,17,365,1294,1277,538,29,43,573,48,1,1,5,4,1,34
31,33,Aria,45,0,45,28,0,1,17,28,27,6,9,3,1,8,0,0,0,0,0,0
31,34,Aribe,31,0,31,27,0,0,4,27,27,6,9,1,0,10,0,0,0,0,0,1
31,35,Armañanzas,50,0,50,41,0,0,9,41,41,16,1,0,14,8,0,0,1,0,0,1
31,36,Arróniz,890,0,890,599,12,5,291,587,582,184,72,26,168,103,0,8,3,5,1,12
31,37,Arruazu,89,0,89,74,1,2,15,73,71,3,34,0,3,29,0,0,0,0,0,2
31,38,Artajona,1342,0,1342,1046,13,8,296,1033,1025,416,84,25,258,173,0,15,3,5,3,43
31,39,Artazu,92,0,92,68,2,0,24,66,66,15,25,3,16,5,0,0,0,0,0,2
31,40,Atez / Atetz,184,0,184,152,0,1,32,152,151,59,45,1,11,27,0,3,0,0,0,5
31,58,Auritz / Burguete,200,0,200,178,1,2,22,177,175,50,39,5,13,60,0,4,0,1,2,1
31,41,Ayegui / Aiegi,1658,0,1658,1157,8,16,501,1149,1133,417,157,26,210,206,1,17,8,12,3,76
31,42,Azagra,2694,0,2694,2038,16,9,656,2022,2013,960,16,10,891,47,2,32,7,7,2,39
31,43,Azuelo,31,0,31,23,0,0,8,23,23,11,0,0,4,7,0,1,0,0,0,0
31,44,Bakaiku,294,0,294,235,0,3,59,235,232,33,126,1,8,61,0,0,0,0,1,2
