Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,200,Oteiza,755,0,755,598,22,24,157,576,552,71,100,89,147,4,23,18,84,8,1,4,1,0,2
31,201,Pamplona - Iruña,147450,2,147452,102988,725,1526,44464,102265,100739,18318,30714,10043,13644,503,3831,3956,14099,3115,260,764,597,442,453
31,202,Peralta - Azkoien,4318,0,4318,3208,56,96,1110,3152,3056,276,1213,557,108,18,178,105,452,102,3,14,15,4,11
31,203,Petilla de Aragón,39,0,39,32,0,1,7,32,31,5,8,7,0,1,1,3,1,4,0,0,0,0,1
31,204,Piedramillera,38,0,38,33,0,1,5,33,32,3,16,1,4,0,1,4,2,1,0,0,0,0,0
31,205,Pitillas,439,0,439,312,2,10,127,310,300,26,69,94,31,1,8,16,45,6,1,1,1,1,0
31,206,Puente la Reina - Gares,2105,0,2105,1641,29,58,464,1612,1554,275,416,132,307,12,52,71,199,38,11,10,13,9,9
31,207,Pueyo,275,0,275,206,4,2,69,202,200,24,48,14,70,2,5,6,23,1,3,0,1,0,3
31,208,Ribaforada,2578,0,2578,2014,41,33,564,1973,1940,175,444,720,30,7,127,140,227,41,3,4,10,2,10
31,209,Romanzado,156,0,156,111,4,2,45,107,105,14,24,7,24,1,3,4,27,0,0,0,0,0,1
31,210,Roncal - Erronkari,203,0,203,165,1,5,38,164,159,39,37,21,34,2,5,6,11,3,0,0,0,1,0
31,212,Sada,158,0,158,109,0,4,49,109,105,7,67,14,2,0,1,3,11,0,0,0,0,0,0
31,213,Saldías,108,0,108,67,0,0,41,67,67,15,4,1,33,0,0,2,11,1,0,0,0,0,0
31,214,Salinas de Oro - Jaitz,94,0,94,64,1,0,30,63,63,18,11,5,13,0,5,2,5,2,0,0,2,0,0
31,215,San Adrián,4653,0,4653,3258,78,74,1395,3180,3106,104,1149,1051,48,14,37,192,333,119,2,12,28,5,12
31,217,San Martín de Unx,342,0,342,235,5,6,107,230,224,17,86,30,27,0,6,17,27,1,4,2,7,0,0
31,216,Sangüesa - Zangoza,3892,0,3892,2724,27,73,1168,2697,2624,448,821,304,312,15,96,77,409,62,15,12,23,0,30
31,219,Sansol,87,0,87,66,2,2,21,64,62,6,23,18,3,2,2,2,4,0,0,0,1,0,1
31,220,Santacara,748,0,748,588,8,10,160,580,570,24,253,109,18,2,17,34,84,19,3,1,2,1,3
31,222,Sarriés - Sartze,63,0,63,39,0,4,24,39,35,9,1,5,11,1,3,0,4,0,0,0,0,0,1
31,223,Sartaguda,1009,0,1009,752,13,12,257,739,727,66,198,159,136,3,19,26,91,14,1,0,11,0,3
31,224,Sesma,921,0,921,682,5,15,239,677,662,30,211,275,20,0,30,27,59,7,1,1,0,1,0
31,225,Sorlada,36,0,36,32,0,0,4,32,32,8,6,8,2,0,0,1,4,3,0,0,0,0,0
31,226,Sunbilla,582,0,582,350,5,3,232,345,342,133,24,12,141,1,2,6,22,1,0,0,0,0,0
31,227,Tafalla,8261,0,8261,6073,98,132,2188,5975,5843,752,1400,815,1527,11,184,85,856,91,16,34,36,9,27
