ELECCIONES AL PARLAMENTO DE NAVARRA POR MESAS 1999;;;;;;;;;;;;;;;;;;;

CÓDIGO;MUNICIPIO;DISTRITO;SECCIÓN;MESA;CENSO_ELECTORAL;ABSTENCIONES;V.EMITIDOS;NULOS;V.VÁLIDOS;BLANCOS;A_CAND.;UPN;PSN-PSOE;CDN;IU-EB;EH;EA-EAJ_PNV;EKA;IN
43;AZUELO;1;1;U;58;13;45;0;45;4;41;29;3;6;1;1;0;0;1
44;BAKAIKU;1;1;U;306;53;253;1;252;2;250;36;12;22;4;136;38;0;2
45;BARASOAIN;1;1;U;381;109;272;0;272;2;270;110;53;60;19;24;3;0;1
46;BARBARIN;1;1;U;92;25;67;2;65;3;62;52;6;2;1;0;1;0;0
47;BARGOTA;1;1;U;356;129;227;0;227;4;223;105;53;10;2;26;20;7;0
48;BARILLAS;1;1;U;173;31;142;2;140;4;136;109;13;5;5;3;1;0;0
49;BASABURUA;1;1;U;607;147;460;4;456;5;451;140;8;32;7;188;69;0;7
50;BAZTAN;1;1;A;432;125;307;3;304;2;302;92;4;12;4;90;100;0;0
50;BAZTAN;1;1;B;545;156;389;0;389;4;385;192;6;20;6;77;84;0;0
50;BAZTAN;1;1;C;397;114;283;2;281;0;281;84;5;11;0;53;128;0;0
50;BAZTAN;2;1;A;601;188;413;1;412;5;407;155;24;30;8;72;118;0;0
50;BAZTAN;2;1;B;519;156;363;2;361;6;355;131;19;19;5;71;109;0;1
50;BAZTAN;2;1;C;663;207;456;2;454;2;452;187;28;31;14;84;107;1;0
50;BAZTAN;2;2;A;498;156;342;1;341;9;332;131;30;23;7;64;77;0;0
50;BAZTAN;2;2;B;572;184;388;2;386;13;373;159;32;28;9;61;82;1;1
50;BAZTAN;2;2;C;492;130;362;1;361;4;357;143;11;8;2;72;121;0;0
50;BAZTAN;3;1;A;696;202;494;6;488;9;479;217;22;27;10;63;139;0;1
50;BAZTAN;3;1;B;595;167;428;9;419;7;412;166;17;13;3;99;114;0;0
50;BAZTAN;3;2;A;236;62;174;2;172;2;170;61;4;10;2;40;53;0;0
50;BAZTAN;3;2;B;270;99;171;1;170;3;167;64;3;5;0;47;48;0;0
51;BEIRE;1;1;U;277;89;188;1;187;1;186;89;55;12;3;27;0;0;0
52;BELASCOAIN;1;1;U;87;23;64;0;64;1;63;33;8;3;8;4;2;3;2
53;BERBINZANA;1;1;U;620;130;490;4;486;9;477;228;158;18;13;53;3;0;4
54;BERTIZARANA;1;1;U;537;119;418;9;409;18;391;110;19;31;8;88;134;0;1
55;BETELU;1;1;U;305;29;276;0;276;17;259;35;17;44;2;94;63;1;3
56;BIURRUN-OLCOZ;1;1;U;161;51;110;0;110;8;102;49;10;17;11;12;1;1;1
57;BUÑUEL;1;1;A;512;91;421;7;414;8;406;241;135;16;6;6;1;0;1
57;BUÑUEL;1;1;B;508;96;412;7;405;9;396;234;147;7;5;2;0;1;0
57;BUÑUEL;2;1;A;469;74;395;3;392;8;384;216;155;5;5;1;1;1;0
57;BUÑUEL;2;1;B;496;94;402;8;394;2;392;209;175;3;1;4;0;0;0
58;AURITZ / BURGUETE;1;1;U;282;38;244;2;242;9;233;108;18;29;9;37;31;0;1
59;BURGUI;1;1;U;209;80;129;1;128;1;127;44;25;23;2;29;3;0;1
60;BURLADA / BURLATA;1;1;B;694;317;377;4;373;14;359;91;78;26;33;100;19;0;12
60;BURLADA / BURLATA;1;1;C;555;233;322;0;322;12;310;100;62;17;24;91;9;0;7
60;BURLADA / BURLATA;1;1;A;609;282;327;1;326;14;312;86;58;23;36;94;8;2;5
60;BURLADA / BURLATA;1;2;A;562;257;305;2;303;11;292;133;40;21;19;65;6;2;6
60;BURLADA / BURLATA;1;2;B;596;249;347;0;347;8;339;128;71;30;31;61;9;0;9
60;BURLADA / BURLATA;1;3;A;508;235;273;1;272;4;268;81;58;24;31;59;11;0;4
60;BURLADA / BURLATA;1;3;B;526;261;265;1;264;7;257;87;68;16;22;45;13;1;5
60;BURLADA / BURLATA;1;4;A;610;263;347;1;346;4;342;115;64;25;28;83;21;0;6
60;BURLADA / BURLATA;1;4;B;644;298;346;5;341;8;333;125;60;24;21;84;16;1;2
60;BURLADA / BURLATA;1;5;A;717;298;419;1;418;12;406;142;62;38;43;99;15;0;7
60;BURLADA / BURLATA;1;5;B;734;333;401;3;398;10;388;125;70;31;55;85;16;0;6
60;BURLADA / BURLATA;2;1;A;611;282;329;2;327;4;323;99;85;31;42;51;6;1;8
60;BURLADA / BURLATA;2;1;B;638;306;332;4;328;8;320;127;71;12;26;71;5;2;6
60;BURLADA / BURLATA;2;2;A;539;243;296;5;291;7;284;107;60;24;21;61;6;0;5
60;BURLADA / BURLATA;2;2;B;547;261;286;5;281;7;274;92;69;20;27;50;11;1;4
