Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-019-2-0001-A;AVILA;019;AVILA;2;0001;A;1386;500;747;938;3;18;PSOE;83
05-019-2-0001-A;AVILA;019;AVILA;2;0001;A;1386;500;747;938;3;18;LV;30
05-019-2-0001-A;AVILA;019;AVILA;2;0001;A;1386;500;747;938;3;18;IU;30
05-019-2-0001-A;AVILA;019;AVILA;2;0001;A;1386;500;747;938;3;18;FE-JONS;5
05-019-3-0001-A;AVILA;019;AVILA;3;0001;A;1573;456;690;933;7;19;PP;424
05-019-3-0001-A;AVILA;019;AVILA;3;0001;A;1573;456;690;933;7;19;PSOE;201
05-019-3-0001-A;AVILA;019;AVILA;3;0001;A;1573;456;690;933;7;19;CDS;155
05-019-3-0001-A;AVILA;019;AVILA;3;0001;A;1573;456;690;933;7;19;IU;75
05-019-3-0001-A;AVILA;019;AVILA;3;0001;A;1573;456;690;933;7;19;LV;45
05-019-3-0001-A;AVILA;019;AVILA;3;0001;A;1573;456;690;933;7;19;FE-JONS;7
05-019-4-0001-A;AVILA;019;AVILA;4;0001;A;1281;440;615;813;8;10;PP;325
05-019-4-0001-A;AVILA;019;AVILA;4;0001;A;1281;440;615;813;8;10;CDS;198
05-019-4-0001-A;AVILA;019;AVILA;4;0001;A;1281;440;615;813;8;10;PSOE;179
05-019-4-0001-A;AVILA;019;AVILA;4;0001;A;1281;440;615;813;8;10;IU;59
05-019-4-0001-A;AVILA;019;AVILA;4;0001;A;1281;440;615;813;8;10;LV;31
05-019-4-0001-A;AVILA;019;AVILA;4;0001;A;1281;440;615;813;8;10;FE-JONS;3
05-019-5-0001-A;AVILA;019;AVILA;5;0001;A;1455;504;753;948;19;25;PP;454
05-019-5-0001-A;AVILA;019;AVILA;5;0001;A;1455;504;753;948;19;25;CDS;169
05-019-5-0001-A;AVILA;019;AVILA;5;0001;A;1455;504;753;948;19;25;PSOE;162
05-019-5-0001-A;AVILA;019;AVILA;5;0001;A;1455;504;753;948;19;25;IU;80
05-019-5-0001-A;AVILA;019;AVILA;5;0001;A;1455;504;753;948;19;25;LV;38
05-019-5-0001-A;AVILA;019;AVILA;5;0001;A;1455;504;753;948;19;25;FE-JONS;1
05-019-6-0001-A;AVILA;019;AVILA;6;0001;A;1843;525;888;1185;18;32;PP;763
05-019-6-0001-A;AVILA;019;AVILA;6;0001;A;1843;525;888;1185;18;32;CDS;174
05-019-6-0001-A;AVILA;019;AVILA;6;0001;A;1843;525;888;1185;18;32;PSOE;111
05-019-6-0001-A;AVILA;019;AVILA;6;0001;A;1843;525;888;1185;18;32;IU;38
05-019-6-0001-A;AVILA;019;AVILA;6;0001;A;1843;525;888;1185;18;32;LV;37
05-019-6-0001-A;AVILA;019;AVILA;6;0001;A;1843;525;888;1185;18;32;FE-JONS;12
05-019-1-0002-A;AVILA;019;AVILA;1;0002;A;863;305;427;537;5;10;PP;278
05-019-1-0002-A;AVILA;019;AVILA;1;0002;A;863;305;427;537;5;10;CDS;119
05-019-1-0002-A;AVILA;019;AVILA;1;0002;A;863;305;427;537;5;10;PSOE;87
05-019-1-0002-A;AVILA;019;AVILA;1;0002;A;863;305;427;537;5;10;IU;19
05-019-1-0002-A;AVILA;019;AVILA;1;0002;A;863;305;427;537;5;10;LV;17
05-019-1-0002-A;AVILA;019;AVILA;1;0002;A;863;305;427;537;5;10;FE-JONS;2
05-019-2-0002-A;AVILA;019;AVILA;2;0002;A;1663;634;952;1131;12;26;PP;749
05-019-2-0002-A;AVILA;019;AVILA;2;0002;A;1663;634;952;1131;12;26;CDS;146
05-019-2-0002-A;AVILA;019;AVILA;2;0002;A;1663;634;952;1131;12;26;PSOE;117
05-019-2-0002-A;AVILA;019;AVILA;2;0002;A;1663;634;952;1131;12;26;LV;43
05-019-2-0002-A;AVILA;019;AVILA;2;0002;A;1663;634;952;1131;12;26;IU;37
05-019-2-0002-A;AVILA;019;AVILA;2;0002;A;1663;634;952;1131;12;26;FE-JONS;1
05-019-4-0002-A;AVILA;019;AVILA;4;0002;A;1098;400;515;640;6;5;PP;258
05-019-4-0002-A;AVILA;019;AVILA;4;0002;A;1098;400;515;640;6;5;CDS;183
05-019-4-0002-A;AVILA;019;AVILA;4;0002;A;1098;400;515;640;6;5;PSOE;130
05-019-4-0002-A;AVILA;019;AVILA;4;0002;A;1098;400;515;640;6;5;IU;38
05-019-4-0002-A;AVILA;019;AVILA;4;0002;A;1098;400;515;640;6;5;LV;19
05-019-4-0002-A;AVILA;019;AVILA;4;0002;A;1098;400;515;640;6;5;FE-JONS;1
05-019-5-0002-A;AVILA;019;AVILA;5;0002;A;1447;522;764;922;5;20;PP;552
05-019-5-0002-A;AVILA;019;AVILA;5;0002;A;1447;522;764;922;5;20;CDS;133
05-019-5-0002-A;AVILA;019;AVILA;5;0002;A;1447;522;764;922;5;20;PSOE;110
05-019-5-0002-A;AVILA;019;AVILA;5;0002;A;1447;522;764;922;5;20;IU;60
05-019-5-0002-A;AVILA;019;AVILA;5;0002;A;1447;522;764;922;5;20;LV;41
05-019-5-0002-A;AVILA;019;AVILA;5;0002;A;1447;522;764;922;5;20;FE-JONS;1
05-019-6-0002-A;AVILA;019;AVILA;6;0002;A;1330;470;657;835;1;12;PP;481
05-019-6-0002-A;AVILA;019;AVILA;6;0002;A;1330;470;657;835;1;12;CDS;138
05-019-6-0002-A;AVILA;019;AVILA;6;0002;A;1330;470;657;835;1;12;PSOE;132
05-019-6-0002-A;AVILA;019;AVILA;6;0002;A;1330;470;657;835;1;12;IU;40
05-019-6-0002-A;AVILA;019;AVILA;6;0002;A;1330;470;657;835;1;12;LV;27
05-019-6-0002-A;AVILA;019;AVILA;6;0002;A;1330;470;657;835;1;12;FE-JONS;4
05-019-1-0003-A;AVILA;019;AVILA;1;0003;A;1127;435;600;744;3;12;PP;276
